year,se,department,cases,casos acumulados,población,incidencia_x_100milHab,casos_estandarizados,estacion_met,Precipitación,Temperatura_Máxima,Temperatura_Mínima,NDVI,NINO_3_4
2023,4,Potosi,0,0,916087,0.00,0.00,,3.7714286,20.757143,7.2,0.433,25.88
2023,5,Potosi,1,1,916087,0.11,0.11,,4.3857143,20.442857,8.9428571,0.459,26.29
2023,6,Potosi,1,2,916087,0.11,0.11,,4.7285714,21.657143,8.3428571,0.485,26.29
2023,7,Potosi,2,4,916087,0.22,0.22,,1.8428571,21.628571,7.6857143,0.485,26.29
2023,8,Potosi,3,7,916087,0.33,0.33,,0,19.757143,6.4571429,0.481,26.29
2023,9,Potosi,1,8,916087,0.11,0.11,,.6,20.542857,7.8714286,0.484,27.23
2023,10,Potosi,0,8,916087,0.00,0.00,,1.1714286,20.142857,7.6,0.489,27.23
2023,11,Potosi,2,10,916087,0.22,0.22,,.64285714,19.985714,6.0857143,0.489,27.23
2023,12,Potosi,0,10,916087,0.00,0.00,,.91428571,19.014286,5.6571429,0.487,27.23
2023,13,Potosi,0,10,916087,0.00,0.00,,2.7,19.3,6.4142857,0.481,27.99
2023,14,Potosi,0,10,916087,0.00,0.00,,1.8857143,20.271429,7.3142857,0.481,27.99
2023,15,Potosi,0,10,916087,0.00,0.00,,0,19.214286,6.3,0.468,27.99
2023,16,Potosi,0,10,916087,0.00,0.00,,0,19.742857,6.0285714,0.446,27.99
2023,17,Potosi,0,10,916087,0.00,0.00,,0,19.985714,6.0285714,0.423,27.99
2023,18,Potosi,0,10,916087,0.00,0.00,,0,22.257143,2.6,0.423,28.35
2023,19,Potosi,0,10,916087,0.00,0.00,,0,22.128571,-1.1857143,0.396,28.35
2023,20,Potosi,0,10,916087,0.00,0.00,,0,19.185714,4.2428571,0.362,28.35
2023,21,Potosi,0,10,916087,0.00,0.00,,0,21,.97142857,0.362,28.35
2023,22,Potosi,0,10,916087,0.00,0.00,,0,20.442857,3.6,0.345,28.59
2023,23,Potosi,0,10,916087,0.00,0.00,,0,20.657143,6.0285714,0.328,28.59
2023,24,Potosi,0,10,916087,0.00,0.00,,0,19.242857,3.2571429,0.328,28.59
2023,25,Potosi,0,10,916087,0.00,0.00,,0,18.542857,2.5285714,0.315,28.59
2023,26,Potosi,0,10,916087,0.00,0.00,,0,19.716667,-1.5333333,0.307,28.37
2023,27,Potosi,0,10,916087,0.00,0.00,,0,17.9,-.71428571,0.307,28.37
2023,28,Potosi,0,10,916087,0.00,0.00,,0,16.685714,4.0285714,0.293,28.37
2023,29,Potosi,0,10,916087,0.00,0.00,,0,19.985714,2.3142857,0.287,28.37
2023,30,Potosi,0,10,916087,0.00,0.00,,0,20.842857,1.4571429,0.279,28.37
2023,31,Potosi,0,10,916087,0.00,0.00,,0,19.84,-3.8,0.279,28.2
2023,32,Potosi,0,10,916087,0.00,0.00,,.15714286,18.071429,-7.8857143,0.274,28.2
2023,33,Potosi,0,10,916087,0.00,0.00,,.07142857,20.1,-5.1428571,0.263,28.2
2023,34,Potosi,0,10,916087,0.00,0.00,,0,19.442857,-5.3285714,0.263,28.2
2023,35,Potosi,0,10,916087,0.00,0.00,,0,19.228571,-5.5571429,0.259,28.29
2023,36,Potosi,0,10,916087,0.00,0.00,,0,15.614286,-1.7,0.261,28.29
2023,37,Potosi,0,10,916087,0.00,0.00,,0,16.285714,1.1714286,0.261,28.29
2023,38,Potosi,0,10,916087,0.00,0.00,,0,21.228571,1.4571429,0.263,28.29
2023,1,Santa Cruz,1080,1080,3425399,31.53,31.53,,0,27.5,25.5,0.729,25.88
2023,2,Santa Cruz,1906,2986,3425399,55.66,55.64,,0,25.666667,24,0.748,25.88
2023,3,Santa Cruz,4150,7136,3425399,121.26,121.15,,0,27,23,0.788,25.88
